DIA,MES,ANO,HORA,MINUTO,SEGUNDO,TEMPERATURA,PRESSAO,UMIDADE,IRRADIANCIA,VELOCIDADE,DIRECAO,CHUVA,PVTEMP(K),TENSAO,CORRENTE,PVTEMP(c)
10,2,2020,13,7,26,33.17,1005.44,67.03,502.95858,33.25,180,0,285.97,448.0125,2.03681,12.8200000000001
10,2,2020,13,7,27,33.19,1005.43,66.9,502.03402,13.3,180,0,285.92,448.65,2.04413,12.77
10,2,2020,13,7,28,33.21,1005.46,66.83,502.4963,26.6,180,0,286.21,448.1625,2.03737,13.06
10,2,2020,13,7,29,33.21,1005.44,66.63,501.10947,26.6,180,0,286.68,448.35,2.04525,13.53
10,2,2020,13,7,30,33.21,1005.46,66.53,502.95858,26.6,180,0,286.75,448.8,2.03569,13.6
10,2,2020,13,7,31,33.22,1005.45,66.48,503.42086,13.3,180,0,285.85,448.425,2.04131,12.7
10,2,2020,13,7,32,33.22,1005.47,66.36,499.26036,26.6,180,0,286.61,448.4625,2.04581,13.46
10,2,2020,13,7,33,33.23,1005.47,66.35,494.1753,26.6,180,0,285.71,448.425,2.05537,12.56
10,2,2020,13,7,34,33.23,1005.47,66.3,494.63757,26.6,135,0,287.04,448.3875,2.05988,13.89
10,2,2020,13,7,35,33.23,1005.45,66.27,508.04364,13.3,135,0,285.85,448.3125,2.06213,12.7
10,2,2020,13,7,36,33.24,1005.45,66.29,516.36464,26.6,135,0,286.09,448.5,2.079,12.94
10,2,2020,13,7,37,33.23,1005.45,66.33,517.75148,13.3,135,0,284.7,448.6875,2.08406,11.55
10,2,2020,13,7,38,33.24,1005.47,66.33,519.60059,26.6,135,0,285.69,448.4625,2.088,12.54
10,2,2020,13,7,39,33.25,1005.46,66.43,521.91198,26.6,90,0,286,448.7625,2.1015,12.85
10,2,2020,13,7,40,33.25,1005.48,66.31,529.77071,13.3,135,0,285.97,448.575,2.11275,12.8200000000001
10,2,2020,13,7,41,33.25,1005.48,66.3,532.0821,26.6,90,0,285.64,449.1375,2.13806,12.49
10,2,2020,13,7,42,33.25,1005.47,66.29,542.25222,26.6,135,0,285.78,448.9875,2.151,12.63
10,2,2020,13,7,43,33.26,1005.49,66.27,553.34689,26.6,90,0,285.83,449.775,2.18025,12.68
10,2,2020,13,7,44,33.25,1005.44,66.28,570.45118,13.3,135,0,285.85,450.15,2.20838,12.7
10,2,2020,13,7,45,33.26,1005.45,66.17,592.17825,26.6,135,0,286.47,450.6,2.25675,13.3200000000001
10,2,2020,13,7,46,33.26,1005.46,66.14,620.8395,13.3,135,0,285.64,451.575,2.31412,12.49
10,2,2020,13,7,47,33.26,1005.48,66.09,643.49112,19.95,135,0,284.89,451.275,2.34619,11.74
10,2,2020,13,7,48,33.26,1005.46,66.06,631.93417,6.65,180,0,285.92,451.5,2.31919,12.77
10,2,2020,13,7,49,33.26,1005.41,66.07,621.30178,19.95,135,0,285.92,451.05,2.30344,12.77
10,2,2020,13,7,50,33.26,1005.43,66.03,621.76405,26.6,135,0,285.45,451.1625,2.29725,12.3
10,2,2020,13,7,51,33.27,1005.46,65.96,624.53772,13.3,135,0,286.28,451.5,2.30962,13.13
10,2,2020,13,7,52,33.27,1005.47,65.9,632.85873,19.95,135,0,285.45,451.1625,2.33269,12.3
10,2,2020,13,7,53,33.27,1005.47,65.82,647.18935,13.3,135,0,285.78,451.6875,2.35912,12.63
10,2,2020,13,7,54,33.27,1005.47,65.75,655.97263,26.6,135,0,286.21,451.6875,2.37431,13.06
10,2,2020,13,7,55,33.27,1005.48,65.69,654.12352,26.6,90,0,285.83,451.8,2.37825,12.68
10,2,2020,13,7,56,33.27,1005.46,65.63,664.29364,26.6,135,0,285.9,451.9875,2.39512,12.75
10,2,2020,13,7,57,33.27,1005.46,65.69,671.22781,13.3,135,0,286.56,452.025,2.3985,13.41
10,2,2020,13,7,58,33.27,1005.46,65.6,674.46376,13.3,135,0,285.45,451.65,2.3985,12.3
10,2,2020,13,7,59,33.28,1005.47,65.56,651.34985,26.6,90,0,284.75,451.3125,2.35125,11.6
10,2,2020,13,8,0,33.27,1005.45,65.62,637.01923,13.3,90,0,285.92,451.35,2.32425,12.77
10,2,2020,13,8,1,33.28,1005.46,65.63,618.99038,13.3,90,0,285.36,450.825,2.28712,12.21
10,2,2020,13,8,2,33.28,1005.48,65.56,592.17825,26.6,90,0,285.97,450.4875,2.2365,12.8200000000001
10,2,2020,13,8,3,33.28,1005.45,65.58,564.44157,13.3,135,0,285.64,450.4125,2.20612,12.49
10,2,2020,13,8,4,33.28,1005.49,65.56,555.19601,13.3,90,0,285.15,450,2.19881,12
10,2,2020,13,8,5,33.28,1005.47,65.64,557.04512,26.6,135,0,284.87,450.225,2.20612,11.72
10,2,2020,13,8,6,33.29,1005.45,65.6,587.55547,13.3,135,0,286.11,450.75,2.27925,12.96
10,2,2020,13,8,7,33.29,1005.45,65.55,679.08654,26.6,90,0,285.08,452.6625,2.4525,11.93
10,2,2020,13,8,8,33.29,1005.46,65.61,781.25,13.3,90,0,285.24,454.6125,2.6145,12.09
10,2,2020,13,8,9,33.29,1005.43,65.58,815.45858,26.6,90,0,286.02,455.1375,2.6685,12.87
10,2,2020,13,8,10,33.29,1005.43,65.62,802.05251,13.3,90,0,285.26,454.875,2.67637,12.11
10,2,2020,13,8,11,33.29,1005.44,65.65,786.33506,26.6,90,0,284.8,455.025,2.655,11.65
10,2,2020,13,8,12,33.28,1005.45,65.63,806.21302,13.3,135,0,285.85,454.875,2.66062,12.7
10,2,2020,13,8,13,33.28,1005.44,65.6,847.81805,13.3,90,0,285.1,455.8875,2.69269,11.95
